what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.refresh,1267279843843
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1267279854322
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.selectAll,1267279944106
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1267279945326
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.selectAll,1267279946399
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1267279946627
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1267279946927
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1267279976966
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1267279982006
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.findReplace,1267279982060
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1267279984888
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1267279992306
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1267279994223
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.findReplace,1267279994259
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1267279998474
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.selectAll,1267280007896
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1267280008531
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1267280009204
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1267280016990
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1267280026965
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1267280033260
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1267280033302
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1267280033678
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1267280034686
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1267280037496
