what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252424514600
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252424591279
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1252424594503
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252424601182
started,bundle,org.eclipse.ui.browser,3.2.201.v20080708_34x,org.eclipse.ui.browser,1252424617830
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252424813246
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252424818540
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1252424859227
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1252425107060
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252425211030
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252425223190
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.5.4,org.tigris.subversion.clientadapter.svnkit,1252425253067
started,bundle,org.tmatesoft.svnkit,1.2.2.5405,org.tmatesoft.svnkit,1252425253097
started,bundle,org.eclipse.wst.common.frameworks.ui,1.1.200.v200805221400,org.eclipse.wst.common.frameworks.ui,1252425264145
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1252425721366
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.selectAll,1252425811961
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1252425812539
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1252425826744
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252426037236
started,bundle,com.google.gdt.eclipse.platform,1.1.0.v200907291609,com.google.gdt.eclipse.platform,1252426040069
started,bundle,com.google.gdt.eclipse.platform.e34,1.1.0.v200907291609,com.google.gdt.eclipse.platform.e34,1252426040072
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252426041230
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1252426199178
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.100.v20080407-1345,org.eclipse.jdt.apt.pluggable.core,1252426199289
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1252426225367
