what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1267280125700
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1267280128446
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1267280135529
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1267280137112
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1267280151737
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1267280154073
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineStart,1267280160893
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.selectAll,1267280162812
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.copy,1267280163513
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1267280165290
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1267280176187
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1267280177378
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1267319588010
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1267319590755
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1267319592114
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.102.v200805140135,org.eclipse.jst.j2ee.xdoclet.runtime,1267319593170
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.0.v200805140020,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1267319593245
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.5.206.v20090115,org.eclipse.jst.server.generic.jboss,1267319593258
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,org.eclipse.jst.server.generic.jonas,1267319593278
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.205.v200805140145,org.eclipse.jst.server.generic.oc4j,1267319593289
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,org.eclipse.jst.server.websphere.core,1267319593291
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.305.v200805140145,org.eclipse.jst.server.generic.ui,1267319593303
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.305.v200805140145,org.eclipse.jst.server.generic.core,1267319593320
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1267319593344
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.0.6.v200805152355,org.eclipse.datatools.connectivity.oda.template.ui,1267319593433
