what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1234755994843
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1234756015046
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234756018984
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234756019187
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234756022796
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234756053250
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1234756053265
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1234756063421
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1234756074828
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1234756076406
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1234756080062
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1234756162625
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1234756170500
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1234756213968
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234756216625
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234756216671
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1234756218109
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234756228796
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234756229734
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234756233171
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234756233531
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234756236500
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234756310265
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1234756351531
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1234756357046
