what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234761095671
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234761203359
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1234761203375
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234761205968
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234761220046
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234761220625
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234761221312
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234761221390
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234761288593
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1234761289562
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234761410437
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234761411375
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234761413171
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234761413296
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234761413312
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234761523578
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1234761523593
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234761531859
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234761531875
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234761531953
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234761549343
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1234761551468
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1234761556625
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1234761556718
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1234761557890
