what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.callhierarchy.view,1234836247015
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.open.call.hierarchy,1234836247046
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1234836249343
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.callhierarchy.view,1234836251609
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.open.call.hierarchy,1234836251640
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1234836252953
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.callhierarchy.view,1234836255015
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.open.call.hierarchy,1234836255125
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234836258640
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234836259984
activated,view,org.eclipse.ui.console,3.3.0.v20080529-1300,org.eclipse.ui.console.ConsoleView,1234836260781
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234836262031
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234836263968
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234836265562
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234836325968
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234836327656
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234836329406
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1234836330406
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1234836333156
opened,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1234836333468
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1234836333687
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1234836343250
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1234836344406
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234836347406
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1234836433671
